date,region,new_cases,new_deaths
2020-01-30,대전,0,0
2020-01-30,부산,0,0
2020-01-30,서울,3,0
2020-01-30,세종,0,0
2020-01-30,울산,0,0
2020-01-30,인천,0,0
2020-01-30,전남,0,0
2020-01-30,전북,0,0
2020-01-30,제주,0,0
2020-01-30,충남,0,0
2020-01-30,충북,0,0
2020-01-31,강원,0,0
2020-01-31,검역,0,0
2020-01-31,경기,0,0
2020-01-31,경남,0,0
2020-01-31,경북,0,0
2020-01-31,계(명),4,0
2020-01-31,광주,0,0
2020-01-31,대구,0,0
2020-01-31,대전,0,0
2020-01-31,부산,0,0
2020-01-31,서울,3,0
2020-01-31,세종,0,0
2020-01-31,울산,0,0
2020-01-31,인천,0,0
2020-01-31,전남,0,0
2020-01-31,전북,1,0
2020-01-31,제주,0,0
2020-01-31,충남,0,0
2020-01-31,충북,0,0
2020-02-01,강원,0,0
2020-02-01,검역,0,0
2020-02-01,경기,1,0
2020-02-01,경남,0,0
2020-02-01,경북,0,0
2020-02-01,계(명),1,0
2020-02-01,광주,0,0
2020-02-01,대구,0,0
2020-02-01,대전,0,0
2020-02-01,부산,0,0
2020-02-01,서울,0,0
2020-02-01,세종,0,0
2020-02-01,울산,0,0
2020-02-01,인천,0,0
2020-02-01,전남,0,0
2020-02-01,전북,0,0
2020-02-01,제주,0,0
2020-02-01,충남,0,0
2020-02-01,충북,0,0
2020-02-02,강원,0,0
2020-02-02,검역,0,0
2020-02-02,경기,2,0
2020-02-02,경남,0,0
2020-02-02,경북,0,0
2020-02-02,계(명),3,0
2020-02-02,광주,0,0
2020-02-02,대구,0,0
2020-02-02,대전,0,0
2020-02-02,부산,0,0
2020-02-02,서울,1,0
2020-02-02,세종,0,0
2020-02-02,울산,0,0
2020-02-02,인천,0,0
2020-02-02,전남,0,0
2020-02-02,전북,0,0
2020-02-02,제주,0,0
2020-02-02,충남,0,0
2020-02-02,충북,0,0
2020-02-03,강원,0,0
2020-02-03,검역,0,0
2020-02-03,경기,0,0
2020-02-03,경남,0,0
2020-02-03,경북,0,0
2020-02-03,계(명),0,0
2020-02-03,광주,0,0
2020-02-03,대구,0,0
2020-02-03,대전,0,0
2020-02-03,부산,0,0
2020-02-03,서울,0,0
2020-02-03,세종,0,0
2020-02-03,울산,0,0
2020-02-03,인천,0,0
2020-02-03,전남,0,0
2020-02-03,전북,0,0
2020-02-03,제주,0,0
2020-02-03,충남,0,0
2020-02-03,충북,0,0
2020-02-04,강원,0,0
2020-02-04,검역,0,0
2020-02-04,경기,0,0
2020-02-04,경남,0,0
2020-02-04,경북,0,0
2020-02-04,계(명),1,0
2020-02-04,광주,1,0
2020-02-04,대구,0,0
2020-02-04,대전,0,0
2020-02-04,부산,0,0
2020-02-04,서울,0,0
2020-02-04,세종,0,0
2020-02-04,울산,0,0
2020-02-04,인천,0,0
2020-02-04,전남,0,0
2020-02-04,전북,0,0
2020-02-04,제주,0,0
2020-02-04,충남,0,0
2020-02-04,충북,0,0
2020-02-05,강원,0,0
2020-02-05,검역,0,0
2020-02-05,경기,2,0
2020-02-05,경남,0,0
2020-02-05,경북,0,0
2020-02-05,계(명),5,0
2020-02-05,광주,1,0
2020-02-05,대구,0,0
2020-02-05,대전,0,0
2020-02-05,부산,0,0
2020-02-05,서울,2,0
2020-02-05,세종,0,0
2020-02-05,울산,0,0
2020-02-05,인천,0,0
2020-02-05,전남,0,0
2020-02-05,전북,0,0
2020-02-05,제주,0,0
2020-02-05,충남,0,0
2020-02-05,충북,0,0
2020-02-06,강원,0,0
2020-02-06,검역,0,0
2020-02-06,경기,0,0
2020-02-06,경남,0,0
2020-02-06,경북,0,0
2020-02-06,계(명),3,0
2020-02-06,광주,0,0
2020-02-06,대구,0,0
2020-02-06,대전,0,0
2020-02-06,부산,0,0
2020-02-06,서울,2,0
2020-02-06,세종,0,0
2020-02-06,울산,0,0
2020-02-06,인천,0,0
2020-02-06,전남,1,0
2020-02-06,전북,0,0
2020-02-06,제주,0,0
2020-02-06,충남,0,0
2020-02-06,충북,0,0
2020-02-07,강원,0,0
2020-02-07,검역,0,0
2020-02-07,경기,0,0
2020-02-07,경남,0,0
2020-02-07,경북,0,0
2020-02-07,계(명),0,0
2020-02-07,광주,0,0
2020-02-07,대구,0,0
2020-02-07,대전,0,0
2020-02-07,부산,0,0
2020-02-07,서울,0,0
2020-02-07,세종,0,0
2020-02-07,울산,0,0
2020-02-07,인천,0,0
2020-02-07,전남,0,0
2020-02-07,전북,0,0
2020-02-07,제주,0,0
2020-02-07,충남,0,0
2020-02-07,충북,0,0
2020-02-08,강원,0,0
2020-02-08,검역,0,0
2020-02-08,경기,0,0
2020-02-08,경남,0,0
2020-02-08,경북,0,0
2020-02-08,계(명),0,0
2020-02-08,광주,0,0
2020-02-08,대구,0,0
2020-02-08,대전,0,0
2020-02-08,부산,0,0
2020-02-08,서울,0,0
2020-02-08,세종,0,0
2020-02-08,울산,0,0
2020-02-08,인천,0,0
2020-02-08,전남,0,0
2020-02-08,전북,0,0
2020-02-08,제주,0,0
2020-02-08,충남,0,0
2020-02-08,충북,0,0
2020-02-09,강원,0,0
2020-02-09,검역,0,0
2020-02-09,경기,3,0
2020-02-09,경남,0,0
2020-02-09,경북,0,0
2020-02-09,계(명),3,0
2020-02-09,광주,0,0
2020-02-09,대구,0,0
2020-02-09,대전,0,0
2020-02-09,부산,0,0
2020-02-09,서울,0,0
2020-02-09,세종,0,0
2020-02-09,울산,0,0
2020-02-09,인천,0,0
2020-02-09,전남,0,0
2020-02-09,전북,0,0
2020-02-09,제주,0,0
2020-02-09,충남,0,0
2020-02-09,충북,0,0
2020-02-10,강원,0,0
2020-02-10,검역,0,0
2020-02-10,경기,1,0
2020-02-10,경남,0,0
2020-02-10,경북,0,0
2020-02-10,계(명),1,0
2020-02-10,광주,0,0
2020-02-10,대구,0,0
2020-02-10,대전,0,0
2020-02-10,부산,0,0
2020-02-10,서울,0,0
2020-02-10,세종,0,0
2020-02-10,울산,0,0
2020-02-10,인천,0,0
2020-02-10,전남,0,0
2020-02-10,전북,0,0
2020-02-10,제주,0,0
2020-02-10,충남,0,0
2020-02-10,충북,0,0
2020-02-11,강원,0,0
2020-02-11,검역,0,0
2020-02-11,경기,0,0
2020-02-11,경남,0,0
2020-02-11,경북,0,0
2020-02-11,계(명),0,0
2020-02-11,광주,0,0
2020-02-11,대구,0,0
2020-02-11,대전,0,0
2020-02-11,부산,0,0
2020-02-11,서울,0,0
2020-02-11,세종,0,0
2020-02-11,울산,0,0
2020-02-11,인천,0,0
2020-02-11,전남,0,0
2020-02-11,전북,0,0
2020-02-11,제주,0,0
2020-02-11,충남,0,0
2020-02-11,충북,0,0
2020-02-12,강원,0,0
2020-02-12,검역,0,0
2020-02-12,경기,0,0
2020-02-12,경남,0,0
2020-02-12,경북,0,0
2020-02-12,계(명),0,0
2020-02-12,광주,0,0
2020-02-12,대구,0,0
2020-02-12,대전,0,0
2020-02-12,부산,0,0
2020-02-12,서울,0,0
2020-02-12,세종,0,0
2020-02-12,울산,0,0
2020-02-12,인천,0,0
2020-02-12,전남,0,0
2020-02-12,전북,0,0
2020-02-12,제주,0,0
2020-02-12,충남,0,0
2020-02-12,충북,0,0
2020-02-13,강원,0,0
2020-02-13,검역,0,0
2020-02-13,경기,0,0
2020-02-13,경남,0,0
2020-02-13,경북,0,0
2020-02-13,계(명),0,0
2020-02-13,광주,0,0
2020-02-13,대구,0,0
2020-02-13,대전,0,0
2020-02-13,부산,0,0
2020-02-13,서울,0,0
2020-02-13,세종,0,0
2020-02-13,울산,0,0
2020-02-13,인천,0,0
2020-02-13,전남,0,0
2020-02-13,전북,0,0
2020-02-13,제주,0,0
2020-02-13,충남,0,0
2020-02-13,충북,0,0
2020-02-14,강원,0,0
2020-02-14,검역,0,0
2020-02-14,경기,0,0
2020-02-14,경남,0,0
2020-02-14,경북,0,0
2020-02-14,계(명),0,0
2020-02-14,광주,0,0
2020-02-14,대구,0,0
2020-02-14,대전,0,0
2020-02-14,부산,0,0
2020-02-14,서울,0,0
2020-02-14,세종,0,0
2020-02-14,울산,0,0
2020-02-14,인천,0,0
2020-02-14,전남,0,0
2020-02-14,전북,0,0
2020-02-14,제주,0,0
2020-02-14,충남,0,0
2020-02-14,충북,0,0
2020-02-15,강원,0,0
2020-02-15,검역,0,0
2020-02-15,경기,0,0
2020-02-15,경남,0,0
2020-02-15,경북,0,0
2020-02-15,계(명),0,0
2020-02-15,광주,0,0
2020-02-15,대구,0,0
2020-02-15,대전,0,0
2020-02-15,부산,0,0
2020-02-15,서울,0,0
