date,vax1_rate,vax2_rate,vax3_rate,fatality_rate_7d
2021-02-26,0.05465272643834756,0.01046128688765013,0.0,1.2621709340064913
2021-02-27,0.05756942025300437,0.010643580251066181,0.0,1.5322874863188618
2021-02-28,0.059319828570536984,0.010753348297854341,0.0,1.7164179104477613
2021-03-01,0.062528583795398,0.01095916338558214,0.0,1.5908250092489826
2021-03-02,0.18289904781707814,0.011270826232712807,0.0,1.2263099219620959
2021-03-03,0.30942240288997314,0.011635412959544908,0.0,1.3358070500927643
2021-03-04,0.4419281165128229,0.012286180665503282,0.0,1.3950073421439062
2021-03-05,0.5780248133805995,0.012664488398183904,0.0,1.5356489945155392
2021-03-06,0.6136229829827381,0.012791897738205875,0.0,1.3513513513513513
2021-03-07,0.6179196179570176,0.012864423054833766,0.0,1.1075384065737763
2021-03-08,0.7490747925756343,0.013042796130864525,0.0,1.3261648745519712
2021-03-09,0.872640290816327,0.013440705300471603,0.0,1.3485477178423237
2021-03-10,0.9784743292133465,0.014142436742438765,0.0,1.233721727210418
2021-03-11,1.065990824802592,0.01495785651857938,0.0,1.1152416356877324
2021-03-12,1.1413073860488105,0.0155635409196069,0.0,1.1151197113807805
2021-03-13,1.1492812505904932,0.01573799370825237,0.0,1.0893944248638257
2021-03-14,1.1520019300358855,0.015851682042425822,0.0,1.0745891276864727
2021-03-15,1.1784285873001348,0.017658934527045162,0.0,0.9696590553644042
2021-03-16,1.2171629868105067,0.019134922727607376,0.0,0.995504174694926
2021-03-17,1.257726200386117,0.020438418283216773,0.0,1.156440732412464
2021-03-18,1.2969329945264163,0.021506696595708683,1.9601436926457053e-06,1.0992563853863564
2021-03-19,1.3317137842087217,0.02273374654730489,1.9601436926457053e-06,0.8800521512385919
2021-03-20,1.334871575697574,0.023527604742826405,1.9601436926457053e-06,0.8264462809917356
2021-03-21,1.3355615462773853,0.024243057190642087,1.9601436926457053e-06,0.8603573792190603
2021-03-22,1.3437392657631033,0.025205487743731127,1.9601436926457053e-06,0.7194244604316548
2021-03-23,1.3761247598529955,0.027073504682822488,1.9601436926457053e-06,0.8549819138441302
2021-03-24,1.4186912402824896,0.02974714067959123,1.9601436926457053e-06,0.7000000000000001
2021-03-25,1.4687729116295873,0.032808885127503816,1.9601436926457053e-06,0.7035175879396985
2021-03-26,1.5111865008510552,0.03630382133149111,1.9601436926457053e-06,0.8635004981733644
2021-03-27,1.514563828433484,0.03658804216692474,1.9601436926457053e-06,0.9123492994460737
2021-03-28,1.5152243968579053,0.03676445509926285,1.9601436926457053e-06,0.808015513897867
2021-03-29,1.5512675190782745,0.038930413879636354,1.9601436926457053e-06,0.914733747141457
2021-03-30,1.5911956460974677,0.043509309545656724,1.9601436926457053e-06,0.7590132827324478
2021-03-31,1.6238810421723346,0.05341195548090283,1.9601436926457053e-06,0.7098765432098766
2021-04-01,1.684594532908343,0.06826396424007934,1.9601436926457053e-06,0.7438262421898245
2021-04-02,1.7541580724166463,0.08260241535178267,1.9601436926457053e-06,0.5832604257801108
2021-04-03,1.7708153735167493,0.08415288901266543,1.9601436926457053e-06,0.49047893825735717
2021-04-04,1.7725677419779748,0.08454099746380928,3.9202873852914105e-06,0.5952380952380952
2021-04-05,1.8352609778435551,0.08735380366275587,3.9202873852914105e-06,0.5802707930367506
2021-04-06,1.900416154187098,0.10100620448203321,3.9202873852914105e-06,0.6029049054535489
2021-04-07,1.9658026274863738,0.12212871291398333,3.9202873852914105e-06,0.6297559695617948
2021-04-08,2.031990799555941,0.14413524615131665,3.9202873852914105e-06,0.5303030303030304
2021-04-09,2.0944076551608584,0.16210584352549248,3.9202873852914105e-06,0.6136475208640157
2021-04-10,2.1126193502092296,0.16577131223073996,5.880431077937116e-06,0.5702066999287242
2021-04-11,2.1142011861691947,0.1663691560569969,5.880431077937116e-06,0.5373831775700935
2021-04-12,2.1849976560601725,0.17029140358598094,5.880431077937116e-06,0.4779244424214839
2021-04-13,2.26477354420716,0.17306892719845993,5.880431077937116e-06,0.4933841668535546
2021-04-14,2.3478522744762556,0.17422541197712088,5.880431077937116e-06,0.5307386112339673
2021-04-15,2.5153328320069823,0.17524860698468195,5.880431077937116e-06,0.6415929203539823
2021-04-16,2.703704601013927,0.17683044294464703,5.880431077937116e-06,0.5528527200353825
2021-04-17,2.758433773056288,0.1776948663131038,5.880431077937116e-06,0.621807683766378
2021-04-18,2.768471668906327,0.178141779075027,5.880431077937116e-06,0.6140350877192983
2021-04-19,2.9943174650292725,0.1791022494844234,5.880431077937116e-06,0.6659267480577136
2021-04-20,3.2359345773032455,0.18020973067076823,5.880431077937116e-06,0.576241134751773
2021-04-21,3.4808035679633176,0.18161711384208784,5.880431077937116e-06,0.5097517730496455
2021-04-22,3.7252374067236222,0.2154903569946983,5.880431077937116e-06,0.4176742141129918
2021-04-23,4.025921489031781,0.2516804899920159,5.880431077937116e-06,0.4279905842071475
2021-04-24,4.149622237187265,0.26307676542105807,5.880431077937116e-06,0.35416666666666663
2021-04-25,4.162282805298065,0.26435477910866306,5.880431077937116e-06,0.3142677561282213
2021-04-26,4.427801909760158,0.303884996958249,5.880431077937116e-06,0.31645569620253167
2021-04-27,4.7569609994913815,0.3440228593525551,5.880431077937116e-06,0.3614714012332554
2021-04-28,5.189919498466658,0.3818947956381628,5.880431077937116e-06,0.3163889474794347
2021-04-29,5.680943334049178,0.43680234075655433,5.880431077937116e-06,0.3628601921024546
2021-04-30,6.203995917569529,0.49326427982321386,7.840574770582821e-06,0.37370850736425587
